2014-11-25 03:34:47 status half-installed libdb5.3:amd64 5.3.28-3ubuntu3
2014-11-25 03:34:47 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2014-11-25 03:34:47 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2014-11-25 03:34:48 install libdbus-1-3:amd64 <none> 1.6.18-0ubuntu4
2014-11-25 03:34:48 status half-installed libdbus-1-3:amd64 1.6.18-0ubuntu4
2014-11-25 03:34:48 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2014-11-25 03:34:48 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2014-11-25 03:34:48 install libdebconfclient0:amd64 <none> 0.187ubuntu1
2014-11-25 03:34:48 status half-installed libdebconfclient0:amd64 0.187ubuntu1
2014-11-25 03:34:48 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2014-11-25 03:34:48 status unpacked libdebconfclient0:amd64 0.187ubuntu1
2014-11-25 03:34:48 install libdrm2:amd64 <none> 2.4.52-1
2014-11-25 03:34:48 status half-installed libdrm2:amd64 2.4.52-1
2014-11-25 03:34:48 status unpacked libdrm2:amd64 2.4.52-1
2014-11-25 03:34:48 status unpacked libdrm2:amd64 2.4.52-1
2014-11-25 03:34:49 install libgcc1:amd64 <none> 1:4.9-20140406-0ubuntu1
2014-11-25 03:34:49 status half-installed libgcc1:amd64 1:4.9-20140406-0ubuntu1
2014-11-25 03:34:49 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2014-11-25 03:34:49 status unpacked libgcc1:amd64 1:4.9-20140406-0ubuntu1
2014-11-25 03:34:49 install libjson-c2:amd64 <none> 0.11-3ubuntu1
2014-11-25 03:34:49 status half-installed libjson-c2:amd64 0.11-3ubuntu1
2014-11-25 03:34:49 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2014-11-25 03:34:49 status unpacked libjson-c2:amd64 0.11-3ubuntu1
2014-11-25 03:34:49 install libjson0:amd64 <none> 0.11-3ubuntu1
2014-11-25 03:34:49 status half-installed libjson0:amd64 0.11-3ubuntu1
2014-11-25 03:34:49 status unpacked libjson0:amd64 0.11-3ubuntu1
2014-11-25 03:34:49 status unpacked libjson0:amd64 0.11-3ubuntu1
2014-11-25 03:34:50 install libklibc:amd64 <none> 2.0.3-0ubuntu1
2014-11-25 03:34:50 status half-installed libklibc:amd64 2.0.3-0ubuntu1
2014-11-25 03:34:50 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2014-11-25 03:34:50 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2014-11-25 03:34:50 install libkmod2:amd64 <none> 15-0ubuntu6
2014-11-25 03:34:50 status half-installed libkmod2:amd64 15-0ubuntu6
2014-11-25 03:34:50 status unpacked libkmod2:amd64 15-0ubuntu6
2014-11-25 03:34:50 status unpacked libkmod2:amd64 15-0ubuntu6
2014-11-25 03:34:50 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2014-11-25 03:34:50 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-11-25 03:34:50 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-11-25 03:34:50 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2014-11-25 03:34:51 install libmount1:amd64 <none> 2.20.1-5.1ubuntu20
2014-11-25 03:34:51 status half-installed libmount1:amd64 2.20.1-5.1ubuntu20
2014-11-25 03:34:51 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2014-11-25 03:34:51 status unpacked libmount1:amd64 2.20.1-5.1ubuntu20
2014-11-25 03:34:51 install libncurses5:amd64 <none> 5.9+20140118-1ubuntu1
2014-11-25 03:34:51 status half-installed libncurses5:amd64 5.9+20140118-1ubuntu1
2014-11-25 03:34:51 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2014-11-25 03:34:51 status unpacked libncurses5:amd64 5.9+20140118-1ubuntu1
2014-11-25 03:34:51 install libncursesw5:amd64 <none> 5.9+20140118-1ubuntu1
2014-11-25 03:34:51 status half-installed libncursesw5:amd64 5.9+20140118-1ubuntu1
2014-11-25 03:34:51 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
2014-11-25 03:34:51 status unpacked libncursesw5:amd64 5.9+20140118-1ubuntu1
